aX,aY,aZ,gX,gY,gZ
-0.043,0.167,-1.002,-2.625,9.949,2.380
-0.031,0.185,-1.043,-3.174,14.709,4.272
-0.037,0.177,-1.028,-0.793,16.907,3.418
-0.047,0.169,-0.997,1.343,12.695,1.282
-0.060,0.157,-0.972,2.441,6.104,-0.122
-0.067,0.140,-0.967,0.732,0.305,-0.854
-0.068,0.134,-0.982,-2.747,-3.174,-0.122
-0.055,0.140,-1.015,-5.676,-1.709,1.831
-0.046,0.148,-1.049,-7.263,1.282,3.967
-0.043,0.145,-1.053,-7.141,2.258,5.615
-0.053,0.148,-1.027,-5.310,1.587,6.348
-0.051,0.145,-0.997,-2.441,-0.427,6.042
-0.042,0.129,-0.960,-0.793,-3.662,4.883
-0.040,0.124,-0.949,-1.282,-5.554,3.418
-0.046,0.127,-0.964,-3.906,-5.371,2.441
-0.057,0.135,-1.022,-7.019,-3.479,1.709
-0.060,0.144,-1.087,-7.690,-1.221,1.160
-0.070,0.133,-1.078,-5.737,0.305,0.977
-0.099,0.137,-1.045,-3.723,1.709,0.610
-0.116,0.154,-1.044,-2.563,1.648,-0.244
-0.094,0.155,-1.032,-1.038,-0.610,-1.587
-0.078,0.159,-1.013,1.770,-3.113,-3.662
-0.042,0.148,-0.993,3.418,-4.944,-6.836
-0.003,0.126,-0.976,3.174,-5.920,-8.362
0.020,0.114,-0.976,2.136,-5.310,-7.263
0.021,0.107,-0.980,0.854,-3.357,-3.906
0.007,0.108,-0.986,-0.732,-0.061,-0.488
-0.016,0.117,-0.990,-1.953,3.174,2.991
-0.044,0.125,-0.996,-3.174,4.822,4.944
-0.058,0.140,-0.996,-2.991,3.906,5.249
-0.047,0.135,-0.989,-2.441,1.648,3.296
-0.023,0.116,-0.983,-3.052,-1.099,0.305
-0.003,0.108,-0.982,-3.357,-2.991,-0.916
-0.006,0.104,-0.975,-3.601,-2.563,0.122
-0.020,0.102,-0.980,-4.456,0.061,3.052
-0.042,0.127,-1.018,-5.432,2.747,5.676
-0.077,0.171,-1.138,-6.226,2.258,7.019
-0.082,0.152,-1.123,-3.784,-0.732,6.165
-0.090,0.149,-1.037,0.732,-0.061,3.784
-0.092,0.133,-0.973,1.953,-0.305,1.099
-0.066,0.118,-0.970,-0.061,-2.502,-0.671
-0.066,0.123,-1.007,-2.136,-4.517,-1.404
-0.064,0.120,-1.042,-2.991,-3.296,-0.854
-0.069,0.119,-1.054,-2.808,0.122,0.610
-0.072,0.126,-1.050,-2.136,4.639,2.075
-0.066,0.137,-1.047,-1.404,7.690,2.930
-0.068,0.135,-1.035,-1.099,6.836,3.052
-0.064,0.129,-1.014,-0.061,4.578,1.343
-0.049,0.132,-0.979,1.709,1.831,-0.366
-0.038,0.121,-0.949,0.854,-2.075,-1.587
-0.026,0.110,-0.942,-2.136,-5.310,-2.014
-0.025,0.103,-0.965,-5.432,-5.676,-1.282
-0.038,0.102,-0.997,-7.446,-3.906,0.977

-0.344,0.273,-2.073,68.848,6.348,-5.859
-0.368,0.259,-2.221,86.914,3.296,-13.733
-0.396,0.245,-2.370,108.887,3.113,-21.484
-0.408,0.187,-2.521,134.766,3.845,-30.884
-0.411,0.130,-2.678,162.842,1.160,-42.297
-0.423,0.070,-2.792,198.059,-5.737,-54.077
-0.408,-0.015,-2.819,240.967,-18.555,-68.909
-0.366,-0.083,-2.713,281.860,-37.781,-86.670
-0.310,-0.098,-2.487,322.021,-61.035,-102.905
-0.278,-0.125,-2.251,355.042,-83.130,-114.746
-0.267,-0.185,-2.162,368.469,-95.337,-121.460
-0.241,-0.215,-2.227,363.953,-93.689,-120.728
-0.204,-0.144,-2.374,366.394,-80.994,-116.943
-0.163,-0.098,-2.457,387.573,-69.336,-119.507
-0.141,-0.142,-2.438,419.556,-65.674,-127.930
-0.106,-0.213,-2.300,458.862,-66.833,-136.108
-0.027,-0.275,-1.926,500.916,-65.552,-145.813
0.033,-0.354,-1.439,530.701,-64.575,-154.541
0.076,-0.445,-0.988,542.419,-72.449,-159.790
0.089,-0.442,-0.723,532.288,-81.787,-157.837
0.171,-0.367,-0.657,494.812,-89.050,-144.897
0.193,-0.276,-0.862,451.050,-100.525,-127.197
0.149,-0.138,-1.161,414.795,-121.887,-111.938
0.088,-0.029,-1.362,401.184,-145.752,-105.347
-0.061,-0.091,-1.274,410.461,-161.560,-108.459
-0.276,-0.286,-0.974,435.181,-173.340,-120.789
-0.614,-0.506,-0.583,465.027,-184.692,-143.372
-0.889,-0.905,-0.131,486.328,-192.322,-178.772
-0.225,-0.886,0.354,486.572,-207.214,-253.479
-0.618,-1.008,0.829,440.430,-244.385,-221.191
-0.436,-1.296,1.008,354.187,-237.854,-165.649
-0.473,-1.281,1.146,312.073,-220.459,-145.325
-0.433,-1.183,1.173,288.269,-215.576,-125.732
-0.400,-1.199,1.090,257.935,-199.463,-98.694
-0.544,-1.296,1.057,256.592,-180.603,-77.515
-0.702,-1.345,1.203,286.072,-149.963,-68.970
-0.883,-1.403,1.511,318.481,-101.807,-59.570
-0.907,-1.547,1.851,337.158,-46.204,-43.030
-0.793,-1.679,2.273,328.125,1.221,-32.410
-0.698,-1.680,2.705,279.053,24.109,-20.630
-0.553,-1.566,3.017,200.439,30.823,-16.541
-0.382,-1.341,3.043,109.375,28.625,-32.104
-0.140,-1.115,2.711,14.648,14.404,-50.598
0.030,-0.886,2.161,-70.129,-8.057,-55.847
0.227,-0.634,1.530,-130.981,-20.508,-46.448
0.373,-0.383,0.943,-160.706,-15.198,-30.701
0.476,-0.144,0.500,-158.813,3.052,-13.733
0.570,0.111,0.259,-135.010,23.376,1.709
0.623,0.358,0.185,-101.379,32.532,13.611
0.624,0.549,0.219,-68.970,27.344,18.494
0.614,0.690,0.294,-48.950,16.541,16.785
0.588,0.756,0.388,-41.077,6.348,13.123
0.584,0.755,0.470,-37.598,-0.488,9.277
0.571,0.699,0.546,-29.602,-3.113,6.653
0.551,0.600,0.645,-16.968,-4.517,6.287
0.515,0.519,0.762,-8.179,-4.761,11.230
0.445,0.422,0.880,-4.211,-3.723,19.409
0.374,0.338,0.964,-1.709,-1.526,25.452
0.304,0.275,1.018,0.854,-0.793,26.917
0.257,0.255,1.042,2.441,-0.549,24.719
0.218,0.229,1.052,0.916,0.061,19.836
0.201,0.249,1.052,-1.587,-0.366,13.550
0.230,0.281,1.037,-6.714,-1.221,5.554
0.301,0.312,1.018,-14.893,-1.709,-1.831
0.359,0.339,0.979,-24.780,-2.747,-6.592
0.423,0.340,0.890,-32.959,-5.676,-7.935
0.456,0.342,0.784,-36.377,-6.409,-5.066
0.476,0.342,0.711,-33.447,-4.639,-0.244
0.482,0.332,0.682,-25.574,-1.648,6.775
0.463,0.304,0.691,-14.587,2.808,14.099
0.431,0.275,0.764,-2.991,10.559,21.240
0.376,0.235,0.881,5.859,18.982,27.771
0.322,0.186,1.023,8.972,25.391,31.250
0.293,0.131,1.158,5.432,27.649,30.945
0.269,0.080,1.276,-4.272,26.306,27.100
0.268,0.020,1.351,-18.555,23.437,21.240
0.260,-0.035,1.394,-34.912,21.240,16.663
0.249,-0.087,1.399,-51.636,21.729,14.404
0.226,-0.152,1.396,-66.895,23.499,14.954
0.165,-0.224,1.409,-78.735,25.696,17.151
0.092,-0.285,1.464,-87.646,30.518,21.545
