aX,aY,aZ,gX,gY,gZ
-0.148,-1.616,-0.167,-24.963,-68.298,88.196
-0.263,-1.746,-0.149,-24.292,-69.824,109.253
-0.343,-1.847,-0.108,-27.283,-67.444,123.840
-0.401,-1.923,-0.140,-37.537,-62.683,133.972
-0.395,-1.964,-0.259,-54.260,-59.326,140.320
-0.359,-2.004,-0.412,-68.054,-60.425,143.005
-0.233,-2.060,-0.600,-76.721,-66.101,146.545
-0.142,-2.169,-0.793,-86.487,-72.815,151.733
-0.088,-2.336,-0.937,-93.079,-80.322,165.039
-0.048,-2.505,-0.949,-88.501,-90.942,189.575
-0.163,-2.554,-0.833,-77.881,-104.187,223.267
-0.322,-2.473,-0.649,-73.975,-116.577,254.150
-0.503,-2.252,-0.388,-71.167,-126.587,266.968
-0.681,-2.041,-0.093,-72.144,-131.409,253.418
-0.776,-1.874,-0.063,-82.397,-129.028,220.154
-0.911,-1.375,0.059,-92.651,-121.948,182.251
-0.733,-0.784,0.101,-104.675,-104.248,184.326
-0.430,-0.679,0.073,-90.698,-63.293,157.959
-0.313,-0.456,0.147,-68.909,-30.823,135.376
-0.207,-0.217,0.266,-27.893,-19.104,124.634
-0.132,0.009,0.449,-0.610,-21.729,107.666
-0.090,0.260,0.685,11.414,-28.809,79.529
0.080,0.434,0.816,10.620,-29.663,41.809
0.332,0.484,0.805,-5.981,-26.184,8.118
0.501,0.451,0.781,-16.296,-31.006,0.916
0.757,0.494,0.920,-6.836,-46.692,17.761
0.865,0.605,1.220,11.414,-57.800,40.161
0.828,0.636,1.494,21.423,-51.331,62.805
0.759,0.622,1.756,14.709,-32.166,87.158
0.510,0.759,2.104,12.024,-11.353,113.647
-0.286,1.001,2.664,21.362,2.991,138.000
-1.134,1.298,3.282,31.494,9.155,151.001
-1.805,1.442,3.649,18.921,7.996,136.353
-2.188,1.306,3.486,-26.794,4.883,93.140
-2.044,1.003,2.844,-88.196,1.831,28.748
-1.444,0.659,1.962,-134.277,1.221,-43.640
-0.750,0.297,1.121,-144.287,5.310,-100.647
-0.169,-0.037,0.543,-129.150,12.329,-125.061
0.302,-0.400,0.236,-94.421,19.470,-127.075
0.674,-0.657,0.112,-51.514,26.917,-118.286
0.930,-0.782,0.058,-13.794,35.217,-103.638
1.090,-0.821,0.013,12.329,39.429,-87.341
1.122,-0.830,0.003,29.419,32.898,-68.726
1.068,-0.821,0.046,36.621,14.221,-51.697
0.947,-0.777,0.159,36.865,-9.766,-40.161
0.784,-0.730,0.307,33.997,-31.921,-31.128
0.620,-0.685,0.453,32.166,-46.631,-23.376
0.486,-0.661,0.591,33.203,-51.941,-18.372
0.381,-0.659,0.702,36.194,-49.500,-13.916
0.317,-0.684,0.778,40.466,-42.786,-8.667
0.261,-0.726,0.847,44.067,-35.583,-2.991
0.226,-0.781,0.912,43.335,-28.748,2.380
0.206,-0.821,0.961,37.048,-23.010,8.118
0.157,-0.840,0.975,25.940,-18.555,13.733
0.113,-0.837,0.958,13.245,-17.029,18.494
0.077,-0.799,0.935,0.793,-18.372,20.996
0.058,-0.785,0.894,-8.484,-19.775,21.057
0.056,-0.777,0.848,-14.893,-19.531,19.165
0.059,-0.755,0.809,-15.808,-17.761,16.174
0.059,-0.749,0.788,-12.329,-13.672,13.550
0.065,-0.767,0.771,-8.423,-8.667,10.315
0.080,-0.770,0.753,-4.883,-4.028,7.324
0.103,-0.785,0.735,-1.526,0.183,4.456
0.141,-0.820,0.713,0.244,3.235,1.404
0.192,-0.845,0.695,-0.793,4.700,-0.793
0.231,-0.847,0.672,-4.578,4.395,-0.549
0.247,-0.835,0.659,-8.972,3.479,2.747
0.235,-0.806,0.642,-13.367,4.639,7.568
0.231,-0.775,0.622,-15.564,7.812,11.353
0.248,-0.729,0.602,-15.442,11.108,12.939
0.243,-0.701,0.584,-13.550,13.062,13.977
0.233,-0.689,0.575,-10.559,13.245,15.869
0.228,-0.688,0.590,-8.789,10.620,16.907
0.230,-0.688,0.619,-10.315,5.066,16.418
0.228,-0.676,0.635,-16.846,-1.587,15.442
0.216,-0.667,0.623,-24.780,-6.409,15.198
0.206,-0.642,0.606,-29.541,-7.202,16.296

-0.261,0.946,1.941,69.397,-4.272,-71.594
-0.331,1.079,2.125,91.187,16.296,-70.740
-0.299,1.188,2.157,101.929,51.697,-70.862
-0.206,1.342,2.116,111.328,90.820,-75.867
-0.122,1.475,2.043,120.728,118.286,-85.022
-0.150,1.458,1.986,115.845,126.953,-102.539
-0.333,1.374,2.018,105.774,123.779,-130.188
-0.552,1.269,2.032,104.614,123.230,-158.020
-0.843,1.034,1.889,107.849,142.517,-175.598
-1.145,0.577,1.490,108.337,183.838,-180.115
-1.297,-0.121,0.930,97.229,228.210,-172.607
-1.436,-0.802,0.230,59.692,262.268,-158.142
-1.973,-1.364,-0.551,-4.089,275.330,-140.137
-2.720,-1.946,-1.542,-89.111,260.071,-119.324
-3.186,-2.857,-2.553,-182.251,228.943,-127.197
-3.323,-3.970,-2.983,-232.361,216.614,-201.233
-2.288,-4.000,-3.192,-179.443,277.527,-350.403
-0.681,-4.000,-3.183,-73.181,400.269,-515.869
1.408,-4.000,-2.520,38.940,366.943,-507.446
2.921,-4.000,-2.172,149.841,229.065,-334.167
3.341,-3.042,-2.293,159.790,129.517,-108.337
3.312,-2.008,-3.178,106.018,57.251,101.563
2.511,-1.572,-3.719,27.283,45.959,222.778
0.884,-1.222,-2.942,45.288,6.897,243.469
-0.764,-1.093,-1.240,158.813,-97.107,206.970
-2.018,-1.345,0.566,228.394,-187.744,144.592
-2.728,-1.353,1.984,233.032,-215.881,78.552
-2.763,-1.156,2.742,203.491,-185.669,13.184
-2.469,-0.966,2.890,147.583,-125.671,-37.170
-2.058,-0.842,2.577,81.665,-62.866,-61.768
-1.535,-0.926,2.122,20.081,-23.621,-82.703
-1.096,-1.036,1.719,-31.677,-13.550,-110.718
-0.608,-1.176,1.235,-72.266,-14.526,-129.639
-0.170,-1.328,0.736,-95.520,-8.423,-130.188
0.157,-1.405,0.319,-92.468,5.554,-108.276
0.314,-1.416,0.043,-68.848,16.724,-73.547
0.370,-1.400,-0.037,-33.875,12.634,-37.720
0.278,-1.363,0.078,5.127,0.732,-7.751
0.086,-1.324,0.287,34.180,-9.338,15.320
-0.183,-1.318,0.528,48.340,-16.968,30.334
-0.370,-1.323,0.734,49.377,-19.714,31.616
-0.441,-1.330,0.831,38.574,-16.418,21.240
-0.396,-1.309,0.796,20.081,-8.667,6.897
-0.285,-1.274,0.675,-0.305,-3.723,-2.991
-0.159,-1.266,0.521,-19.836,-4.272,-7.751
-0.066,-1.243,0.375,-35.461,-6.897,-8.972
-0.016,-1.201,0.258,-46.326,-11.108,-7.446
0.030,-1.149,0.150,-54.565,-18.494,-5.310
0.046,-1.150,0.060,-59.998,-29.541,-4.395
0.019,-1.178,0.004,-59.998,-41.809,-2.563
-0.011,-1.240,-0.024,-55.542,-51.453,2.258
-0.070,-1.341,-0.036,-49.561,-58.105,10.620
-0.099,-1.452,-0.049,-42.542,-62.683,20.569
-0.104,-1.554,-0.052,-35.522,-64.941,30.762
-0.120,-1.607,-0.057,-29.236,-65.552,43.030
-0.120,-1.635,-0.060,-23.437,-66.956,57.312
-0.136,-1.653,-0.075,-21.423,-68.420,73.059
-0.152,-1.681,-0.125,-27.466,-68.848,88.501
-0.195,-1.702,-0.231,-39.124,-66.162,101.257
-0.239,-1.715,-0.363,-49.988,-62.622,113.647
-0.305,-1.745,-0.494,-56.641,-62.195,125.977
-0.369,-1.766,-0.599,-57.800,-64.758,137.085
-0.372,-1.734,-0.661,-53.040,-71.777,143.433
-0.354,-1.713,-0.697,-42.847,-81.665,145.081
-0.299,-1.728,-0.716,-29.724,-90.881,146.912
-0.244,-1.759,-0.708,-13.916,-95.825,153.259
-0.209,-1.823,-0.667,2.441,-95.825,164.917
-0.188,-1.827,-0.571,18.250,-94.055,179.565
-0.222,-1.735,-0.421,32.837,-93.018,191.650
-0.274,-1.543,-0.225,43.945,-96.313,194.214
-0.320,-1.349,-0.033,45.044,-106.201,182.190
-0.298,-1.137,0.090,36.926,-122.620,156.799
-0.203,-0.965,0.205,27.649,-140.198,125.000
-0.111,-0.859,0.304,19.897,-154.175,97.717
-0.036,-0.835,0.375,12.939,-160.706,83.862
0.050,-0.864,0.493,10.132,-156.433,81.360
0.107,-0.781,0.635,9.216,-139.343,86.365
0.080,-0.586,0.738,6.592,-118.469,94.666
0.094,-0.337,0.795,3.662,-106.445,96.191
0.162,-0.137,0.834,-0.122,-106.812,83.496
0.251,0.007,0.888,-8.057,-112.915,66.223
0.310,0.118,0.936,-10.437,-118.958,56.213
0.339,0.158,0.970,-4.761,-116.394,57.556
0.295,0.195,1.048,4.456,-100.830,70.374
0.172,0.351,1.279,19.470,-78.552,89.111
-0.158,0.661,1.787,38.452,-62.561,103.760
-0.757,0.939,2.613,56.580,-56.641,108.337
-1.648,1.228,3.685,68.604,-56.213,108.826
-2.456,1.459,4.000,61.401,-51.758,104.248
-2.709,1.280,4.000,21.790,-28.564,71.472
-2.244,0.813,3.921,-42.969,16.296,14.709
-1.391,0.261,2.549,-128.845,68.298,-46.204
-0.533,-0.142,1.116,-200.806,89.478,-89.661
0.114,-0.480,0.059,-233.093,67.688,-104.858
0.552,-0.725,-0.508,-224.670,25.146,-102.539
0.917,-0.870,-0.755,-190.247,-7.141,-98.083
1.197,-0.969,-0.838,-140.747,-22.217,-95.886
1.327,-1.068,-0.782,-85.449,-28.687,-88.257
1.293,-1.168,-0.591,-28.687,-34.668,-71.594
1.137,-1.197,-0.266,22.461,-44.067,-51.880
0.878,-1.195,0.140,59.814,-54.688,-36.011
0.649,-1.180,0.527,78.430,-62.500,-23.499
0.436,-1.183,0.835,81.116,-64.331,-10.498
0.232,-1.163,1.100,72.815,-58.716,3.784
0.042,-1.086,1.276,55.725,-47.729,18.616
-0.124,-0.997,1.349,34.790,-36.011,31.921
-0.279,-0.908,1.347,14.587,-24.963,42.664
-0.377,-0.818,1.305,-0.671,-14.648,47.546
-0.413,-0.719,1.233,-10.315,-5.798,46.143
-0.411,-0.664,1.137,-17.639,0.916,39.917
-0.357,-0.660,1.009,-24.231,5.981,29.724
-0.260,-0.687,0.893,-29.297,8.423,17.151
-0.169,-0.744,0.784,-32.715,8.789,3.967
-0.058,-0.795,0.694,-33.691,8.484,-4.944
0.052,-0.849,0.613,-33.386,9.033,-10.376
0.134,-0.892,0.536,-31.372,11.292,-10.864
0.196,-0.906,0.490,-27.588,14.771,-7.019
0.240,-0.885,0.463,-22.827,18.188,-1.160
0.256,-0.840,0.446,-18.677,20.325,5.615

0.828,-0.127,1.923,197.266,74.463,-115.784
0.589,-0.151,2.122,216.736,111.328,-41.931
0.210,-0.062,2.191,225.525,166.931,46.753
-0.315,-0.066,2.076,214.905,242.126,126.221
-0.865,-0.138,1.773,165.649,322.632,177.551
-1.450,-0.207,1.208,88.684,380.005,194.397
-1.888,-0.162,0.387,-1.282,393.555,178.467
-2.229,-0.130,-0.532,-104.309,347.839,121.765
-2.477,-0.249,-1.508,-200.806,248.230,26.062
-2.617,-0.610,-2.371,-267.212,122.559,-99.915
-2.777,-1.370,-2.886,-267.761,8.667,-238.159
-2.801,-2.372,-3.000,-204.407,-51.941,-350.220
-2.688,-3.426,-2.843,-96.008,-54.749,-424.683
-1.655,-4.000,-2.369,54.382,-36.499,-473.755
-0.093,-4.000,-1.187,213.196,-33.447,-476.929
1.515,-4.000,0.344,293.762,-24.109,-380.005
2.498,-4.000,1.164,270.630,-2.197,-237.061
2.817,-4.000,1.096,182.312,52.124,-87.646
2.304,-3.350,0.228,66.956,128.967,52.856
1.243,-2.438,-0.732,-32.532,165.161,176.392
0.045,-1.434,-1.092,-71.350,130.432,267.334
-0.959,-0.749,-0.873,-47.302,46.265,291.077
-1.595,-0.354,-0.202,9.460,-46.814,245.667
-2.167,-0.096,0.650,51.636,-130.737,153.381
-2.346,-0.139,1.256,55.969,-175.903,47.852
-2.104,-0.262,1.426,30.273,-165.527,-47.791
-1.552,-0.471,1.240,-3.723,-108.887,-113.464
-0.952,-0.676,0.977,-27.832,-51.636,-144.714
-0.519,-0.835,0.805,-37.537,-19.165,-146.423
-0.288,-0.981,0.717,-35.034,-5.554,-131.592
-0.165,-1.089,0.649,-26.917,2.869,-110.535
-0.073,-1.174,0.586,-19.165,13.916,-90.393
-0.013,-1.224,0.491,-14.648,25.696,-71.106
0.013,-1.224,0.412,-11.414,33.386,-50.110
0.015,-1.182,0.370,-6.470,35.034,-29.114
